STORE NUMBER,BADGE TYPE,QUANTITY,NAME,TITLE/COMMENT
1231,P,3,DARCE BLOCK,STORE MANAGER
42342,P,3,DEEDER,1ST ASSISTANT MANAGER
2328801,P,2,COLLEEN,HEAD CASHIER
34343,M,2,SHA PIZZA,STORE MANAGER
2,F/O,2,SHA PIZZA,STORE MANAGER
43434,M,2,SHODIE,STORE MANAGER
541,M,2,KEITH,2ND ASSISTANT MANAGER
6143,F/O,1,KEITH CHAD,2ND ASSISTANT MANAGER
24362,M,2,GLORIAAAA,STORE MANAGER
643,F/O,2,DAYTON CLARKE,ASSISTANT MEAT DEPT. MANAGER
6432,M,3,RHONDA ROUSIE,1ST ASSISTANT MANAGER
2342,M,4,JIMMY,STARBUCKS DEPT. OPERATOR
2342,P,2,MARGE,SEAFOOD DEPT. OPERATOR
2343,P,2,DOUGIE,MEAT DEPT. MANAGER
3333,P,2,JANGLE,DELI DEPT. MANAGER
4545,P,2,ROB,
46336,M,2,MIKE,PHARMACY ASSISTANT
3453,M,1,SEAN,PHARMACIST
3123,F/O,1,SEAN,PHARMACIST
